ts_code,name,price
002123.SZ,梦网集团,16.240000000000002
002124.SZ,天邦股份,12.43
002125.SZ,湘潭电化,5.21
002126.SZ,银轮股份,7.145
002127.SZ,南极电商,10.120000000000001
002128.SZ,露天煤业,8.34
002129.SZ,中环股份,10.995
002130.SZ,沃尔核材,4.65
002131.SZ,利欧股份,1.745
002132.SZ,恒星科技,3.025
002133.SZ,广宇集团,3.185
002134.SZ,天津普林,7.6
002135.SZ,东南网架,5.359999999999999
002136.SZ,安纳达,8.29
002137.SZ,麦达数字,6.49
002138.SZ,顺络电子,21.94
002139.SZ,拓邦股份,5.9399999999999995
002140.SZ,东华科技,7.305
002141.SZ,贤丰控股,3.545
002142.SZ,宁波银行,22.58
002143.SZ,印纪退,0.85
002144.SZ,宏达高科,9.825
002145.SZ,中核钛白,3.8600000000000003
002146.SZ,荣盛发展,8.165
002147.SZ,ST新光,2.015
002148.SZ,北纬科技,5.335
002149.SZ,西部材料,8.18
002150.SZ,通润装备,5.295
002151.SZ,北斗星通,22.405
002152.SZ,广电运通,6.895
002154.SZ,报喜鸟,2.9699999999999998
002155.SZ,湖南黄金,10.115
002156.SZ,通富微电,9.07
002157.SZ,正邦科技,19.8
002158.SZ,汉钟精机,7.915
002159.SZ,三特索道,14.485
002160.SZ,常铝股份,3.145
002161.SZ,远望谷,7.1899999999999995
002162.SZ,悦心健康,3.25
002163.SZ,中航三鑫,4.9399999999999995
002164.SZ,宁波东力,3.925
002165.SZ,红宝丽,4.744999999999999
002166.SZ,莱茵生物,7.575
002167.SZ,东方锆业,6.75
002168.SZ,惠程科技,8.065
002169.SZ,智光电气,5.550000000000001
002170.SZ,芭田股份,3.3
002171.SZ,楚江新材,6.295
002172.SZ,澳洋健康,3.61
002173.SZ,创新医疗,6.1899999999999995
002174.SZ,游族网络,13.695
002175.SZ,*ST东网,1.76
002176.SZ,江特电机,4.140000000000001
002177.SZ,御银股份,5.8
002178.SZ,延华智能,3.54
002180.SZ,纳思达,24.380000000000003
002181.SZ,粤传媒,4.51
002182.SZ,云海金属,8.955
002183.SZ,怡亚通,4.5
002184.SZ,海得控制,10.27
002185.SZ,华天科技,5.4
002186.SZ,全聚德,10.565000000000001
002187.SZ,广百股份,8.145
002188.SZ,*ST巴士,3.0999999999999996
002189.SZ,中光学,20.055
002190.SZ,*ST集成,19.07
002191.SZ,劲嘉股份,10.96
002192.SZ,融捷股份,15.850000000000001
002193.SZ,如意集团,8.895
002194.SZ,武汉凡谷,18.67
002195.SZ,二三四五,3.33
002196.SZ,方正电机,5.5649999999999995
002197.SZ,证通电子,8.379999999999999
002198.SZ,嘉应制药,6.529999999999999
002199.SZ,东晶电子,13.43
002200.SZ,*ST云投,5.725
002201.SZ,九鼎新材,26.155
002202.SZ,金风科技,13.02
002203.SZ,海亮股份,10.43
002204.SZ,大连重工,3.495
002205.SZ,国统股份,20.28
002206.SZ,海利得,3.745
002207.SZ,ST准油,6.32
002208.SZ,合肥城建,6.66
002209.SZ,达意隆,6.465
002210.SZ,*ST飞马,1.205
002211.SZ,宏达新材,6.155
002212.SZ,南洋股份,16.6
002213.SZ,特尔佳,10.125
002214.SZ,大立科技,10.375
002215.SZ,诺普信,6.225
002216.SZ,三全食品,9.575
002217.SZ,合力泰,5.38
002218.SZ,拓日新能,3.14
002219.SZ,恒康医疗,3.0250000000000004
002220.SZ,ST天宝,1.3250000000000002
002221.SZ,东华能源,7.795
002222.SZ,福晶科技,10.684999999999999
002223.SZ,鱼跃医疗,21.805
002224.SZ,三力士,5.54
002225.SZ,濮耐股份,4.295
002226.SZ,江南化工,5.155
002227.SZ,奥特迅,11.19
002228.SZ,合兴包装,4.015
002229.SZ,鸿博股份,6.484999999999999
002231.SZ,奥维通信,6.92
002232.SZ,启明信息,8.84
002233.SZ,塔牌集团,9.85
002235.SZ,安妮股份,7.425
002236.SZ,大华股份,16.29
002237.SZ,恒邦股份,15.515
002238.SZ,天威视讯,8.355
002239.SZ,奥特佳,1.8399999999999999
002240.SZ,威华股份,7.800000000000001
002241.SZ,歌尔股份,13.555
002242.SZ,九阳股份,22.115000000000002
002243.SZ,通产丽星,13.754999999999999
002244.SZ,滨江集团,3.7199999999999998
002245.SZ,澳洋顺昌,3.685
002246.SZ,北化股份,8.71
002247.SZ,聚力文化,3.055
